features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,avg_acc_above_73
"X3,X5,X6,above_4",7,0.6306,0.0835884239316941,0.6787850155951974,0.0788685809419753,0.13,0.11718837976664598
"X3,X5,X6,above_4",8,0.6274923076923077,0.0824846853276986,0.6510563636410072,0.0908089521734151,0.1,0.10698032235395027
"X3,X5,X6,above_4",9,0.6315076923076923,0.0782205893081608,0.6906441996897926,0.0688105534770181,0.09,0.10398611044341632
"X3,X5,X6,above_4",10,0.6387384615384615,0.08893914680454,0.6773166680602166,0.0843029818895963,0.13,0.1524193637568405
"X3,X5,X6,above_4",11,0.633323076923077,0.0825017754874395,0.697694727675594,0.0728388985299929,0.12,0.12063541390616006
"X3,X5,X6,above_4",12,0.6431230769230768,0.0792182081155678,0.6888390376929014,0.0765128882633623,0.11,0.1363909310101239
"X3,X5,X6,above_4",13,0.6261076923076923,0.0773647183473863,0.6982571178572274,0.0671154468723114,0.07,0.08965379523560091
"X3,X5,X6,above_4",14,0.6303076923076923,0.0819757504914657,0.683366728290353,0.0770574754158457,0.11,0.11196970396996031
"X3,X5,X6,above_4",15,0.6231538461538462,0.0809030027748548,0.6957340548618081,0.0721978080776491,0.09,0.09330574119882606
"X3,X5,X6,above_5",1,0.5191692307692309,0.0928426600579023,0.5679832482452111,0.0999451962822348,0.0,0.011578351327739544
"X3,X5,X6,above_5",2,0.539723076923077,0.0872375197496524,0.4752844662435624,0.123025019864973,0.0,0.014586667458928004
"X3,X5,X6,above_5",3,0.5535692307692307,0.0811512956216047,0.591983888373882,0.089399874876801,0.03,0.014848934463100205
"X3,X5,X6,above_5",4,0.5571538461538462,0.0844514145536849,0.5288279170165062,0.1036130187704097,0.01,0.020344098230178354
"X3,X5,X6,above_5",5,0.5639076923076923,0.0863822302568185,0.5996865406886943,0.1011896024831443,0.06,0.027255091116559882
"X3,X5,X6,above_5",6,0.571923076923077,0.0851830955255419,0.5559745050742833,0.1112474946115165,0.05,0.031745944858528996
"X3,X5,X6,above_5",7,0.5986923076923076,0.0801301825397031,0.6423365717675216,0.0832892826629545,0.05,0.050640006512475466
"X3,X5,X6,above_5",8,0.6008615384615384,0.0881239901112976,0.6109539424732526,0.1006968306183447,0.06,0.07140348535518426
"X3,X5,X6,above_5",9,0.6152153846153846,0.0833877078620416,0.6605009260328444,0.0826899416469465,0.1,0.08433078066937605
"X3,X5,X6,above_5",10,0.6152615384615384,0.0808020973422797,0.6355501099445265,0.0831875540867773,0.09,0.07780477133801522
"X3,X5,X6,above_5",11,0.6183384615384615,0.08948390619243,0.6686785606582971,0.0857737070473661,0.08,0.10604494930604136
"X3,X5,X6,above_5",12,0.6159846153846154,0.0913602389140805,0.6424603876943129,0.0986283549407138,0.14,0.10601992501601742
"X3,X5,X6,above_5",13,0.6132461538461539,0.0838214204875125,0.668184811215355,0.0861352814506197,0.09,0.08182683914537314
"X3,X5,X6,above_5",14,0.6048153846153845,0.0898594971651256,0.6414340618842606,0.102505800821073,0.1,0.08179250557791895
"X3,X5,X6,above_5",15,0.5996923076923077,0.0814306980191233,0.6668023149725122,0.0810311105589424,0.06,0.05477399372845104
